address_id,country,region,city,street,building_number,zip,parent_id
1,Ukraine,,,,0, ,0
2,Ukraine,Kyiv region,,,0, ,1
3,Ukraine,Kyiv region,Kyiv,,0, ,2
4,Ukraine,Kyiv region,Kyiv,Khreshchatyk St,0, ,3
5,Ukraine,Kyiv region,Kyiv,Velyka Vasylkivska St,0, ,3
6,Ukraine,Kyiv region,Kyiv,Saksahanskoho St,0, ,3
7,Ukraine,Kyiv region,Kyiv,Peremohy Ave,0, ,3
8,Ukraine,Kyiv region,Kyiv,Obolonskyi Ave,0, ,3
9,Ukraine,Kyiv region,Kyiv,Naberezhne Hwy,0, ,3
10,Ukraine,Kyiv region,Kyiv,Kharkivske Hwy,0, ,3
11,Ukraine,Kyiv region,Kyiv,Dmytrivska St,0, ,3
12,Ukraine,Kyiv region,Kyiv,Shota Rustaveli St,0, ,3
13,Ukraine,Kyiv region,Kyiv,Henerala Almazova St,0, ,3
14,Ukraine,Kyiv region,Kyiv,Ivana Franka St,0, ,3
15,Ukraine,Kyiv region,Kyiv,Lesi Ukrainky Blvd,0, ,3
16,Ukraine,Kyiv region,Bila Tserkva,,0, ,2
17,Ukraine,Kyiv region,Bila Tserkva,Yaroslav Mudryi St,0, ,16
18,Ukraine,Kyiv region,Bila Tserkva,Soborna Sq,0, ,16
19,Ukraine,Kyiv region,Bila Tserkva,Levantovych St,0, ,16
20,Ukraine,Kyiv region,Bila Tserkva,Oleksandriiska St,0, ,16
21,Ukraine,Kyiv region,Bila Tserkva,Tekhnichna St,0, ,16
22,Ukraine,Kyiv region,Bila Tserkva,Heroiv Krut St,0, ,16
23,Ukraine,Kyiv region,Bila Tserkva,Yuvileina St,0, ,16
24,Ukraine,Kyiv region,Bila Tserkva,Volodymyrska St,0, ,16
25,Ukraine,Kyiv region,Bila Tserkva,Honchara St,0, ,16
26,Ukraine,Kyiv region,Bila Tserkva,Pushkinska St,0, ,16
27,Ukraine,Kyiv region,Irpin,,0, ,2
28,Ukraine,Kyiv region,Irpin,Centralna St,0, ,27
29,Ukraine,Kyiv region,Irpin,Universytetska St,0, ,27
30,Ukraine,Kyiv region,Irpin,Tsentralnyi Park Ave,0, ,27
31,Ukraine,Kyiv region,Irpin,Nezalezhnosti St,0, ,27
32,Ukraine,Kyiv region,Irpin,Miroshnychenka St,0, ,27
33,Ukraine,Kyiv region,Irpin,Poltavska St,0, ,27
34,Ukraine,Kyiv region,Irpin,Pushkinska St,0, ,27
35,Ukraine,Kyiv region,Irpin,Sadova St,0, ,27
36,Ukraine,Kyiv region,Irpin,Kyivska St,0, ,27
37,Ukraine,Kyiv region,Irpin,Kurdyumova St,0, ,27
38,Ukraine,Lviv region,,,0, ,1
39,Ukraine,Lviv region,Lviv,,0, ,38
40,Ukraine,Lviv region,Lviv,Svobody Ave,0, ,39
41,Ukraine,Lviv region,Lviv,Shevchenka St,0, ,39
42,Ukraine,Lviv region,Lviv,Franko St,0, ,39
43,Ukraine,Lviv region,Lviv,Bandery St,0, ,39
44,Ukraine,Lviv region,Lviv,Kopernyka St,0, ,39
45,Ukraine,Lviv region,Lviv,Horodotska St,0, ,39
46,Ukraine,Lviv region,Lviv,Lychakivska St,0, ,39
47,Ukraine,Lviv region,Lviv,Pekarska St,0, ,39
48,Ukraine,Lviv region,Lviv,Halytska St,0, ,39
49,Ukraine,Lviv region,Lviv,Zelena St,0, ,39
50,Ukraine,Lviv region,Lviv,Stryiska St,0, ,39
51,Ukraine,Lviv region,Lviv,Levandivska St,0, ,39
52,Ukraine,Lviv region,Drohobych,,0, ,38
53,Ukraine,Lviv region,Drohobych,Shevchenka St,0, ,52
54,Ukraine,Lviv region,Drohobych,Stepana Bandery St,0, ,52
55,Ukraine,Lviv region,Drohobych,Stryiska St,0, ,52
56,Ukraine,Lviv region,Drohobych,Mazepy St,0, ,52
57,Ukraine,Lviv region,Drohobych,Truskavetska St,0, ,52
58,Ukraine,Lviv region,Drohobych,Heroiv Maidanu St,0, ,52
59,Ukraine,Lviv region,Drohobych,Lesi Ukrainky St,0, ,52
60,Ukraine,Lviv region,Drohobych,Tobilevycha St,0, ,52
61,Ukraine,Lviv region,Drohobych,Boryslavska St,0, ,52
62,Ukraine,Lviv region,Drohobych,Grushevskoho St,0, ,52
63,Ukraine,Lviv region,Stryi,,0, ,38
64,Ukraine,Lviv region,Stryi,Shevchenka St,0, ,63
65,Ukraine,Lviv region,Stryi,Oleska St,0, ,63
66,Ukraine,Lviv region,Stryi,Olesia Honchara St,0, ,63
67,Ukraine,Lviv region,Stryi,Kopernyka St,0, ,63
68,Ukraine,Lviv region,Stryi,Stepana Bandery St,0, ,63
69,Ukraine,Lviv region,Stryi,Horodotska St,0, ,63
70,Ukraine,Lviv region,Stryi,Chornovola St,0, ,63
