marketplace_id,name,country_code,currency
A2Q3Y263D00KWC,Amazon.com.br,BR,BRL
A2EUQ1WTGCTBG2,Amazon.ca,CA,CAD
A1AM78C64UM0Y8,Amazon.com.mx,MX,MXN
ATVPDKIKX0DER,Amazon.com,US,USD
A2VIGQ35RCS4UG,Amazon.ae,AE,AED
AMEN7PMS3EDWL,Amazon.com.be,BE,EUR
A1PA6795UKMFR9,Amazon.de,DE,EUR
A1RKKUPIHCS9HS,Amazon.es,ES,EUR
A13V1IB3VIYZZH,Amazon.fr,FR,EUR
A1F83G8C2ARO7P,Amazon.co.uk,GB,GBP
A28R8C7NBKEWEA,Amazon.ie,IE,EUR
APJ6JRA9NG5V4,Amazon.it,IT,EUR
A1805IZSGTT6HS,Amazon.nl,NL,EUR
A1C3SOZRARQ6R3,Amazon.pl,PL,PLN
A17E79C6D8DWNP,Amazon.sa,SA,SAR
A2NODRKZP88ZB9,Amazon.se,SE,SEK
A33AVAJ2PDY3EV,Amazon.com.tr,TR,TRY
A39IBJ37TRP1C6,Amazon.com.au,AU,AUD
A30BMGT8JIOX0F,Non-Amazon AU,AU,AUD
A1MQXOICRS2Z7M,Non-Amazon CA,CA,CAD
A38D8NSA03LJTC,Non-Amazon DE,DE,EUR
AFQLKURYRPEL8,Non-Amazon ES,ES,EUR
A1ZFFQZ3HTUKT9,Non-Amazon FR,FR,EUR
AZMDEXL2RVFNN,Non-Amazon UK,GB,GBP
A62U237T8HV6N,Non-Amazon IT,IT,EUR
A3H6HPSLHAK3XG,Non-Amazon MX,MX,MXN
A2ZV50J4W1RKNI,Non-Amazon US,US,USD
AHRY1CZE9ZY4H,Amazon.com Invoicing Shadow Marketplace,US,USD
