asin,group_name,variant_label
PID-0006,Garlic Press,Silver
PID-0075,Garlic Press,Black
PID-0007,Garlic Press,Red
PID-0014,Garlic Press,MC
PID-0060,Garlic Press,Gray
PID-0040,Garlic Press,Blue
PID-0005,Bread Knife,
PID-0020,Bread Knife,BLACK
PID-0018,Bread Knife,BLUE
PID-0003,Bread Knife,RED
PID-0070,Bread Knife,ORANGE
PID-0029,Bread Knife,GREEN
PID-0016,Bread Knife,Silver
PID-0068,Bread Knife,Orange
PID-0071,Bread Knife,Green
PID-0098,Bottle Openers,Army Gray
PID-0100,Bottle Openers,Rose Gold
PID-0052,Coffee Scoops,Silver
PID-0019,Coffee Scoops,Rose Gold
PID-0065,Coffee Scoops,Gold
PID-0083,Coffee Scoops,Multi-colored
PID-0061,Coffee Scoops,Black
PID-0057,Coffee Scoops,Light Gold
PID-0097,Sili Cooking Utensils,Gray
PID-0101,Sili Cooking Utensils,Black
PID-0088,Sili Cooking Utensils,Red
PID-0102,Sili Cooking Utensils,Blue
PID-0094,Sili Cooking Utensils,MC
PID-0074,Lemon Zester,Orange
PID-0023,Lemon Zester,Black
PID-0080,Lemon Zester,Gray
PID-0021,Lemon Zester,Red
PID-0067,Lemon Zester,Green
PID-0039,Lemon Zester,Yellow
PID-0095,Dough Whisk,Red
PID-0093,Dough Whisk,Black
PID-0103,Dough Whisk,White
PID-0104,Dough Whisk,Blue
PID-0105,Dough Whisk,Gray
PID-0051,Cake Set,Silver
PID-0085,Cake Set,Rose Gold
PID-0050,Cake Set,Black
PID-0089,Cake Set,Rainbow
PID-0077,Cake Set,Gold
PID-0059,Cake Set,Champagne
PID-0024,New Docker,Dark Gray
PID-0064,New Docker,Red
PID-0008,New Docker,Black
PID-0004,New Docker,Ice
PID-0058,New Docker,Aqua
PID-0031,New Docker,Yellow
PID-0053,Tea Bag Squeezer,1-Pack
PID-0035,Tea Bag Squeezer,2-Pack
PID-0034,Pie Server,Black
PID-0009,Pie Server,Red
PID-0010,Pie Server,Gray
PID-0033,Pie Server,Blue
PID-0013,Pie Server,White
PID-0084,Bakers Couche,XL
PID-0055,Bakers Couche,L
PID-0043,Bakers Couche,M
PID-0063,Bakers Couche,S
PID-0078,Apple Corer,
PID-0073,Apple Corer,Gray
PID-0081,Apple Corer,Red
PID-0037,Apple Corer,White
PID-0036,Apple Corer,Blue
PID-0017,Dough Whisk,2-pk
PID-0025,Dough Whisk,1-pk
PID-0026,Lids Small,Blue
PID-0038,Lids Small,Multicolored
PID-0090,Lids Small,Yellow
PID-0032,Lids Small,Green
PID-0030,Lids Small,Lilac
PID-0066,Lids Small,Pink
PID-0062,Lids Small,Transparent
PID-0054,Dough Docker,
PID-0012,Bread Lame,
PID-0087,Chef Knife,
PID-0001,Butcher Knife,
PID-0106,Silicone Lids Blue,
PID-0072,Pasta Measure,
PID-0047,Bread Knife,Black
PID-0046,Bread Knife,Blue
PID-0041,Bread Knife,Red
PID-0042,Pie Server,Orange
PID-0044,Pie Server,Royal Blue
PID-0056,Pie Server,Dark Green
PID-0027,Camping Cutlery,2-PACK Boundless Black
PID-0015,Camping Cutlery,2-PACK Olive Green
PID-0011,Camping Cutlery,2-PACK Live Red
PID-0022,Camping Cutlery,2-PACK Ultramarine Blue
PID-0045,Camping Cutlery,2-PACK Orangey Orange
PID-0049,Camping Cutlery,2-PACK Modern Gray
PID-0079,Camping Cutlery,2-PACK Mustard Yellow
PID-0076,Camping Cutlery,2-PACK Hot Pink
PID-0069,Camping Cutlery,2-PACK Green
PID-0082,Camping Cutlery,1-PACK Live Red
PID-0048,Camping Cutlery,1-PACK Boundless Black
PID-0086,Camping Cutlery,1-PACK Ultramarine Blue
PID-0002,Camping Cutlery,1-PACK Olive Green
