sale_id,order_id,wh_id,quantity,discount
1,1,22364,10,0
2,2,590,4,0
3,2,7398,5,0
4,2,10773,9,0
5,2,20885,9,0
6,3,7678,9,0
7,3,12251,6,0
8,3,12958,8,0
9,3,14441,2,0
10,3,15615,4,0
11,3,18722,6,0
12,3,19179,1,0
13,4,688,10,0
14,4,7371,9,0
15,4,7739,7,0
16,4,20934,10,0
17,4,21647,2,0
18,4,21798,4,0
19,4,23751,8,0
20,5,2417,3,0.05
21,5,4474,7,0.05
22,6,684,4,0
23,6,5876,2,0
24,6,13415,6,0
25,7,3450,1,0
26,7,11740,4,0
27,7,11761,10,0
28,7,20118,5,0
29,7,20320,10,0
30,8,3047,10,0
31,8,8939,10,0
32,8,10342,4,0
33,8,14450,7,0
34,8,14995,5,0
35,8,20238,9,0
36,8,20406,2,0
37,9,83,6,0
38,9,656,7,0
39,9,1732,1,0
40,9,4985,9,0
41,9,8761,6,0
42,9,16256,7,0
43,10,2305,8,0
44,10,3199,6,0
45,10,11947,3,0
46,10,11964,3,0
47,10,16671,5,0
48,10,18607,6,0
49,11,535,2,0
50,11,6089,9,0
51,11,8164,1,0
52,11,8894,4,0
53,11,13612,1,0
54,11,16770,1,0
55,11,22211,1,0
56,12,9435,8,0
57,12,22639,7,0
58,13,7312,4,0
59,13,18504,1,0
60,14,1150,10,0
61,14,3903,4,0
62,14,14836,3,0
63,14,15467,3,0
64,14,15943,3,0
65,14,18655,2,0
66,14,19531,10,0
67,15,14054,5,0
68,15,15171,1,0
69,16,4329,9,0
70,16,11673,8,0
71,16,19798,4,0
72,17,3580,9,0
73,17,3603,8,0
74,17,13461,2,0
75,17,13518,5,0
76,17,14810,2,0
77,17,20400,4,0
78,17,21762,4,0
79,18,17179,2,0
80,18,18255,4,0
81,18,18756,5,0
82,19,2991,1,0
83,19,3363,3,0
84,19,7132,1,0
85,19,17310,4,0
86,20,12577,5,0
87,20,17867,8,0
88,21,8766,8,0
89,21,12914,6,0
90,21,17307,5,0
91,21,21647,8,0
92,22,1230,6,0
93,22,7829,3,0
94,22,14647,9,0
95,22,17900,5,0
96,22,20233,5,0
97,22,22831,10,0
98,22,23169,4,0
99,23,5486,5,0
100,23,14703,10,0
101,23,14709,7,0
102,23,17051,3,0
103,23,17425,2,0
104,23,19652,8,0
105,23,20308,9,0
106,24,12044,4,0
107,25,4771,5,0
108,25,7297,3,0
109,25,11563,9,0
110,25,19266,3,0
111,26,8857,6,0
112,26,10653,5,0
113,26,10789,10,0
114,27,9138,7,0
115,28,676,3,0
116,28,3244,8,0
117,28,10830,10,0
118,28,15163,6,0
119,28,20926,7,0
120,28,22776,3,0
121,28,23135,7,0
122,29,7418,6,0
123,29,15725,5,0
124,30,19417,3,0
125,31,13088,5,0
126,31,19585,5,0
127,32,8267,4,0
128,32,11542,9,0
129,32,18950,1,0
130,32,19450,1,0
131,32,19975,3,0
132,33,10029,7,0
133,34,17392,9,0
134,35,4432,4,0
135,35,4934,9,0
136,35,14236,6,0
137,35,14386,7,0
138,35,16161,8,0
139,35,21373,3,0
140,36,12649,5,0
141,36,15639,6,0
142,36,17112,5,0
143,36,19006,6,0
144,37,3929,8,0
145,37,7264,2,0
146,37,8894,2,0
147,37,12214,6,0
148,37,16361,5,0
149,37,21874,4,0
150,37,21900,4,0
151,38,550,2,0
152,38,22398,4,0
153,39,5668,5,0
154,39,11481,9,0
155,39,18111,1,0
156,39,18429,4,0
157,39,23115,2,0
158,39,23444,6,0
159,39,23540,8,0
160,40,1038,5,0
161,40,16780,2,0
162,40,20940,10,0
163,41,3185,8,0
164,41,4337,7,0
165,41,5551,6,0
166,41,13783,10,0
167,41,13912,6,0
168,41,14118,7,0
169,41,18849,7,0
170,42,4877,2,0
171,42,5479,4,0
172,42,12324,6,0
173,42,13049,7,0
174,43,1151,10,0
175,43,5261,4,0
176,43,7893,2,0
177,43,13160,3,0
178,43,20068,1,0
179,43,22623,6,0
180,43,23123,9,0
181,44,1148,5,0
182,45,393,2,0
183,45,2036,1,0
184,45,19409,3,0
185,46,290,5,0
186,46,4568,8,0
187,46,17465,9,0
188,46,20559,2,0
189,46,20778,2,0
190,46,22443,5,0
191,46,23041,4,0
192,47,21824,8,0
193,48,307,7,0
194,48,5378,7,0
195,48,22159,9,0
196,49,6451,8,0
197,49,14185,2,0
198,49,18101,4,0
199,50,4012,6,0
200,50,4542,7,0
201,50,5465,2,0
202,50,5784,1,0
203,50,8626,9,0
204,50,14443,9,0
205,50,17800,9,0
206,51,8377,5,0
207,51,9543,9,0
208,51,10668,6,0
209,51,19734,7,0
210,52,13989,5,0
211,52,14191,5,0
212,52,15276,6,0
213,52,16448,4,0
214,52,22532,1,0
