store_id,store_type,store_name,address_id,url
1,online,E-Shop Global 1,0,https://brown-salinas.com/
2,online,E-Shop Global 2,0,http://www.smith-jacobs.org/
3,physical,Store 1,3933, 
4,physical,Store 2,2984, 
5,physical,Store 3,1897, 
6,physical,Store 4,2610, 
7,physical,Store 5,4123, 
8,physical,Store 6,1355, 
9,physical,Store 7,3397, 
10,physical,Store 8,5221, 
11,physical,Store 9,831, 
12,physical,Store 10,1894, 
13,physical,Store 11,1579, 
14,physical,Store 12,726, 
15,physical,Store 13,1319, 
16,physical,Store 14,597, 
17,physical,Store 15,5417, 
18,physical,Store 16,3539, 
19,physical,Store 17,5466, 
20,physical,Store 18,3657, 
21,physical,Store 19,939, 
22,physical,Store 20,1573, 
23,physical,Store 21,1869, 
24,physical,Store 22,1760, 
25,physical,Store 23,5332, 
26,physical,Store 24,2541, 
27,physical,Store 25,2340, 
28,physical,Store 26,2067, 
29,physical,Store 27,1340, 
30,physical,Store 28,5288, 
31,physical,Store 29,5281, 
32,physical,Store 30,2085, 
33,physical,Store 31,1850, 
34,physical,Store 32,1471, 
35,physical,Store 33,4450, 
36,physical,Store 34,2041, 
37,physical,Store 35,1304, 
38,physical,Store 36,3610, 
39,physical,Store 37,4006, 
