wh_id,product_id,supplier_id,price,procurement,markup,sales_price,stock_quantity
1,1418,1,145.27,0.38,0.25,181.59,72
2,1418,5,140.14,0.15,0.25,175.18,75
3,1418,4,158.08,0.46,0.25,197.6,62
4,1418,6,140.14,0.4,0.25,175.18,34
5,1418,8,143.56,0.46,0.25,179.45,56
6,1418,10,157.23,0.45,0.25,196.54,81
7,5278,7,399.49,0.34,0.25,499.36,81
8,5278,6,385.55,0.42,0.25,481.94,63
9,5278,1,394.84,0.43,0.25,493.55,14
10,5278,5,390.2,0.1,0.25,487.75,42
11,4002,3,217.64,0.15,0.25,272.05,75
12,4002,10,231.33,0.49,0.25,289.16,23
13,4002,2,229.96,0.41,0.25,287.45,33
14,4002,6,235.43,0.43,0.25,294.29,11
15,4002,7,250.49,0.49,0.25,313.11,37
16,4002,1,257.33,0.48,0.25,321.66,91
17,1850,9,14.06,0.38,0.25,17.58,44
18,1850,1,13.89,0.43,0.25,17.36,64
19,1850,3,13.48,0.11,0.25,16.85,61
20,1850,8,13.07,0.31,0.25,16.34,90
21,1850,6,13.4,0.31,0.25,16.75,43
22,4582,7,688.34,0.43,0.25,860.42,81
23,4582,9,700.78,0.36,0.25,875.97,90
24,4582,5,667.6,0.12,0.25,834.5,85
25,4582,2,655.16,0.35,0.25,818.95,32
26,4582,3,663.46,0.12,0.25,829.32,59
27,804,6,69.13,0.34,0.25,86.41,15
28,804,8,70.82,0.42,0.25,88.52,16
29,804,5,67.01,0.11,0.25,83.76,52
30,804,7,75.91,0.47,0.25,94.89,76
31,804,4,72.95,0.49,0.25,91.19,28
32,4722,2,240.78,0.36,0.25,300.98,13
33,4722,3,231.92,0.12,0.25,289.9,32
34,4722,8,257.03,0.35,0.25,321.29,99
35,4680,1,47.66,0.47,0.25,59.58,77
36,4680,10,46.36,0.41,0.25,57.95,71
37,4680,2,41.96,0.31,0.25,52.45,57
38,4680,6,44.29,0.34,0.25,55.36,10
39,4680,3,39.89,0.13,0.25,49.86,79
40,3473,2,7417.35,0.48,0.25,9271.69,92
41,3473,8,6878.66,0.37,0.25,8598.33,87
42,3473,9,6878.66,0.32,0.25,8598.33,22
43,810,3,31.51,0.13,0.25,39.39,26
44,810,1,34.97,0.35,0.25,43.71,29
